Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ipv6.opt.type.action,CS2D1,CV,3.0,0.0,0.3808088538169861,0.08344544835814803,0.0962585534500692,0.08344544835814803,0.046165886471205876,0.0008126625592043999,0.0,0.02289419174194332,0.00250844955444334
ipv6.opt.type.change,CS2D1,CV,3.0,0.0,0.3808088529922532,0.08344552054602196,0.09689096235781083,0.08344552054602196,0.046165782038202326,0.00081357440109104,0.0,0.02200407981872552,0.00937428474426266
ipv6.opt.type,CS2D1,CV,3.0,0.0,0.38080886747089737,0.08344553280989057,0.09710041676448297,0.08344553280989057,0.046165983083059726,0.00081321283536784,0.0,0.02174582481384274,0.0033389091491699005
ipv6.opt.type.rest,CS2D1,CV,3.0,0.0,0.38080885143442444,0.0834454244742134,0.09657142766305676,0.0834454244742134,0.046165544866294136,0.00081237187835758,0.0,0.022015380859374954,0.009392452239990199
ipv6.tclass,CS2D1,CV,3.0,0.0,0.4095861714572421,0.08994417375943552,0.11520422663554004,0.08994417375943552,0.05916526827792782,0.047746883964955966,0.0,0.02940554618835444,0.00341019630432128
ntp.flags,CS2D1,CV,3.0,0.0,0.38072323893669413,0.08683403992868047,0.17971725574427513,0.08683403992868047,0.05263991340090461,0.0009002417289093399,0.0,0.026840305328369098,0.0
ntp.flags.li,CS2D1,CV,3.0,0.0,0.3806889940109116,0.08685599999789481,0.10675329434051614,0.08685599999789481,0.05266298057138804,0.0008641324877905201,0.0,0.02134613990783684,0.00312485694885252
ntp.flags.mode,CS2D1,CV,3.0,0.0,0.3806889854886717,0.0868307266968869,0.10747616649817024,0.0868307266968869,0.05261818948216081,0.0008640533390748401,0.0,0.0161474704742431,0.0089614391326904
ntp.flags.vn,CS2D1,CV,3.0,0.0,0.3807232293148103,0.08682995979598933,0.1635896114059288,0.08682995979598933,0.05263785588615244,0.0008996865191246599,0.0,0.028254461288452097,0.0
ntp.ppoll,CS2D1,CV,3.0,0.0,0.3807232329802899,0.08687075733875824,0.17948334056996124,0.08687075733875824,0.052702695064223135,0.0009005052734589001,0.0,0.021996927261352477,0.0
ntp.precision,CS2D1,CV,3.0,0.0,0.3807232310559131,0.0868571136817218,0.16307130145446225,0.0868571136817218,0.05268306032055042,0.0009004248648477201,0.0,0.028219413757324164,0.00041098594665526
ntp.refid,CS2D1,CV,3.0,0.0,0.3806889774246167,0.08684115535220442,0.10678675013215755,0.08684115535220442,0.052637196202393766,0.00086432693446478,0.0,0.01476578712463376,0.0
ntp.rootdelay,CS2D1,CV,3.0,0.0,0.38072324837530386,0.08685049615041618,0.18003469925071325,0.08685049615041618,0.05267474720759966,0.0008992470280927,0.0,0.01696305274963374,0.00804624557495112
ntp.rootdispersion,CS2D1,CV,3.0,0.0,0.3807232329802899,0.08687075733875824,0.17948334056996124,0.08687075733875824,0.052702695064223135,0.0009005052734589001,0.0,0.022070693969726517,0.00313420295715332
ntp.stratum,CS2D1,CV,3.0,0.0,0.3806889871381375,0.08686058129014768,0.1067842355767481,0.08686058129014768,0.05266443819660684,0.0008645314845883601,0.0,0.0182698249816894,0.009417915344238258
Payload_Entropy,CS2D1,CV,3.0,0.0,0.633275819638038,0.5605952513924588,0.7853025457832863,0.5605952513924588,0.6298733478453273,0.454001982638938,0.0,0.1883332729339599,0.01011018753051754
srcport,CS2D1,CV,3.0,0.0,0.6417523303971098,0.3810969874379747,0.7005389854244413,0.3810969874379747,0.42026354425383283,0.4594222753844984,0.0,0.1805209636688232,0.0093739032745361
srcport_class,CS2D1,CV,3.0,0.0,0.49502755681394073,0.17334029869851184,0.1740134692281144,0.17334029869851184,0.1475721870913481,0.21547714034554594,0.0,0.03627696037292476,0.0
stun.att.crc32,CS2D1,CV,3.0,0.0,0.3803122627143235,0.0833333333333333,0.0316926885595269,0.0833333333333333,0.04592095469231626,0.0,0.0,0.0187477588653564,0.0
stun.att.crc32.status,CS2D1,CV,3.0,0.0,0.38031226555507014,0.0833333333333333,0.031692688796255794,0.0833333333333333,0.045920740955018954,0.0,0.0,0.01444602012634274,0.006664228439331041
stun.att.error.class,CS2D1,CV,3.0,0.0,0.3803122720612963,0.0833333333333333,0.03169268933844131,0.0833333333333333,0.04592089307147016,0.0,0.0,0.02067356109619136,0.0067608833312988005
stun.att.error,CS2D1,CV,3.0,0.0,0.38031227710133064,0.0833333333333333,0.03169268975844416,0.0833333333333333,0.04592066102995616,0.0,0.0,0.01653776168823236,0.00066022872924804
stun.att.family,CS2D1,CV,3.0,0.0,0.38031224621966564,0.0833333333333333,0.031692687184972076,0.0833333333333333,0.04592064840182752,0.0,0.0,0.01898403167724604,0.00062546730041502
stun.att.ipv4-xord,CS2D1,CV,3.0,0.0,0.3803122728860292,0.0833333333333333,0.03169268940716906,0.0833333333333333,0.045920521756522045,0.0,0.0,0.0134768486022949,0.0
stun.att.ipv4,CS2D1,CV,3.0,0.0,0.3803122616146797,0.0833333333333333,0.031692688467889925,0.0833333333333333,0.0459210205986949,0.0,0.0,0.01444001197814936,0.0062618732452392415
stun.att.lifetime,CS2D1,CV,3.0,0.0,0.3803122709616525,0.0833333333333333,0.031692689246804316,0.0833333333333333,0.04592082013664364,0.0,0.0,0.01564860343933102,0.0
stun.att.padding,CS2D1,CV,3.0,0.0,0.38036362717061367,0.08393115731805652,0.0883613895737601,0.08393115731805652,0.04710419384256094,0.00012154983276454565,0.0,0.02191543579101556,0.00314517021179198
stun.att.port-xord,CS2D1,CV,3.0,0.0,0.3803122494269603,0.0833333333333333,0.03169268745224664,0.0833333333333333,0.04592060403133122,0.0,0.0,0.018729543685913043,0.0
stun.att.port,CS2D1,CV,3.0,0.0,0.38031225400880964,0.0833333333333333,0.031692687834067444,0.0833333333333333,0.04592082221156396,0.0,0.0,0.0156490802764892,0.0
stun.att.reserved,CS2D1,CV,3.0,0.0,0.3804064176120983,0.08439834012454493,0.0991568004101602,0.08439834012454493,0.04801946490844034,0.00022397512703440002,0.0,0.01876306533813472,0.00312566757202148
stun.att.transp,CS2D1,CV,3.0,0.0,0.38040646159785274,0.0843997993674382,0.09766871133806906,0.0843997993674382,0.04801795206676096,0.00022410932335327998,0.0,0.015651798248290962,0.00310759544372558
stun.att.username,CS2D1,CV,3.0,0.0,0.38036362717061367,0.08390985371207409,0.09280583514030152,0.08390985371207409,0.04706459734283648,0.00012162188131584453,0.0,0.03130841255187984,0.0
stun.attributes,CS2D1,CV,3.0,0.0,0.38041070347403877,0.08444230002496964,0.10140562116841027,0.08444230002496964,0.04810316034937026,0.00023375222076027998,0.0,0.015824508666992122,0.0031261920928955
stun.cookie,CS2D1,CV,3.0,0.0,0.38041072207634735,0.0844133250571748,0.09843544261140405,0.0844133250571748,0.04804241532811982,0.00023356078942498,0.0,0.020891523361206,0.00885481834411618
stun.id,CS2D1,CV,3.0,0.0,0.38043641708785236,0.0846796152314713,0.1983632875978706,0.0846796152314713,0.04857982396611594,0.0002747671995199818,0.0,0.0329013347625732,0.0031262874603271403
stun.length,CS2D1,CV,3.0,0.0,0.38041071538684723,0.08443890553700112,0.1008632923877576,0.08443890553700112,0.04809317815793554,0.00023377065304615996,0.0,0.02811555862426754,0.0
stun.network_version,CS2D1,CV,3.0,0.0,0.3804107228094432,0.08447632117981603,0.0928077358430873,0.08447632117981603,0.048158187983940275,0.00023368884223070002,0.0,0.0185489654541015,0.0034872055053710603
stun.response-to,CS2D1,CV,3.0,0.0,0.3803122597819399,0.0833333333333333,0.03169268831516162,0.0833333333333333,0.045920926627839,0.0,0.0,0.01427474021911616,0.0062519073486328
stun.time,CS2D1,CV,3.0,0.0,0.38031227022855657,0.0833333333333333,0.031692689185713,0.0833333333333333,0.04592061087862072,0.0,0.0,0.020925331115722638,0.0
stun.type.class,CS2D1,CV,3.0,0.0,0.380410709430443,0.08443315824934905,0.09669662018334577,0.08443315824934905,0.04808198914102512,0.00023347325556168,0.0,0.024048423767089818,0.0003690719604492
stun.type,CS2D1,CV,3.0,0.0,0.38041071969378565,0.08443355595333198,0.08299953758992393,0.08443355595333198,0.0480776175795449,0.00023377666830887996,0.0,0.0231617927551269,0.00553674697875974
stun.type.method-assignment,CS2D1,CV,3.0,0.0,0.38041069861727833,0.08444978045376303,0.09915693733340533,0.08444978045376303,0.04812030158852692,0.00023353878068452,0.0,0.0229664802551269,0.00060291290283202
stun.type.method,CS2D1,CV,3.0,0.0,0.3804107153868473,0.08445035913319252,0.09737122203193757,0.08445035913319252,0.0481190317306187,0.00023338456502566,0.0,0.022116851806640577,0.0064465522766113
stun.value,CS2D1,CV,3.0,0.0,0.3803122568495562,0.0833333333333333,0.031692688070796296,0.0833333333333333,0.04592080865750638,0.0,0.0,0.018280887603759722,0.01261696815490718
tcp.ack,CS2D1,CV,3.0,0.0,0.5303377279460805,0.25041047085348,0.3944600400172419,0.25041047085348,0.2626215698966846,0.2742703386214195,0.0,0.19413738250732418,0.0
tcp.ack_raw,CS2D1,CV,3.0,0.0,0.5690342274167032,0.3504471045636145,0.7859611010686647,0.3504471045636145,0.4099558567790534,0.3369182172898434,0.0,0.1320139408111572,0.0031268596649169796
tcp.analysis.acks_frame,CS2D1,CV,3.0,0.0,0.4145179329521902,0.13102687142398345,0.29602353994383934,0.13102687142398345,0.12738455146811659,0.07370862476537784,0.0,0.18402471542358395,0.00315055847167968
tcp.analysis.ack_lost_segment,CS2D1,CV,3.0,0.0,0.3803122812249951,0.0833333333333333,0.0316926901020829,0.0833333333333333,0.045920080802781524,0.0,0.0,0.019102621078491158,0.0
tcp.analysis.ack_rtt,CS2D1,CV,3.0,0.0,0.40843455430581715,0.1089378024365161,0.2623905223436145,0.1089378024365161,0.09691264115007596,0.06135964032775239,0.0,0.1049364566802978,0.00767130851745602
